7121619394815329036,客户不一定懂，这个膜这么容易被撕下就是设计缺陷[加油][加油][加油],10,254,3,2022-07-18 16:02:08,来自福建,4142560058023691,薇薇逛红尘
7121611693163758373,[思考]没看明白，是把电视机的显示器撕下来了吗,13,62,0,2022-07-18 15:32:13,来自北京,1903980168623076,o0芳儿0o
7121622359823811365,很多人不懂 液晶屏上有偏光膜，撕的人也不只这一个了，以前见过有把电脑显示器的偏光膜撕了的。,11,45,1,2022-07-18 16:13:31,来自黑龙江,866037408732387,乐吃购日本
7121595325671949089,偏光膜被当成了保护膜，这识别度有点低啊,5,22,4,2022-07-18 14:28:46,来自上海,2673604508008280,可妈书单
7121606092958335785,这个电视是什么电视胶粘的屏幕吗？实在没搞懂。,5,65,0,2022-07-18 15:10:02,来自北京,2779155823869464,乏伐罚
7121546219205296936,就这个尺寸，什么电视要一万多?,65,167,1,2022-07-18 11:17:20,来自江西,11323792254,老富童
7121530708505740073,戴个偏光👓是不是就能看见了？,18,277,1,2022-07-18 10:17:20,来自山东,111614625056,用户ID是xxxxx
7121608009310470942,[捂脸]我家刚买回来的时候没几天我发现：咦[捂脸]没撕膜[捂脸]然后就用手扣，抠起了一点点儿就扣不动了[捂脸][捂脸]我歇了一会儿就找了把刀子又扣[捂脸]还是费老劲不好抠[捂脸][捂脸]我就打那个售后服务员的手机[捂脸]人家问明白后说：大姐你可真厉害👍，你抠下来的话你家电视也不用看了，那天我去按的时候当你面不是给你撕过保护膜了嘛[笑哭][笑哭][笑哭][笑哭]我勒个去，我忘了[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],18,94,1,2022-07-18 15:17:58,来自山东,4064208829810072,乐天派海登1Q0
7121642785644020510,这是电视设计缺陷。这么重要的膜能轻易撕掉，而且也不贴个警告。,1,13,0,2022-07-18 17:32:35,来自西藏,6318734511,拉漂57
7121547665023746856,这个电视太垃圾了，胶粘的屏幕，一撕就掉了。,6,94,2,2022-07-18 11:23:01,来自河北,71462621960,正直原野3
7121539129380668160,我觉得如果不明白的很多人会撕下来吧，就以为是保护膜呢，销售人员应该提醒一下吧，再说这玩意为啥这么容易撕下来呢[泪奔],19,286,6,2022-07-18 10:50:01,来自黑龙江,92656599028,晓琪琪131
